Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Hana,android,browseTitles,,,2021-11-20 20:22:48
Hana,android,profilesGate,,,2021-11-20 20:22:46
Hana,www,search,/search?q=un%20plan%20parfa,/search?q=un%20plan%20parfait,2021-11-19 19:54:03
Hana,www,playback,/search?q=un%20plan%20parfait,/watch/80037273?trackId=13752289&tctx=0%2C0%2C5b6845e0f736c28b062db51dc717f636a1bc00ab%3A6eeed96493e62509184ce71de148a62cc1bc7c76%2C5b6845e0f736c28b062db51dc717f636a1bc00ab%3A6eeed96493e62509184ce71de148a62cc1bc7c76%2Cunknown%2C,2021-11-19 19:54:03
Hana,www,search,/search?q=un%20plan,/search?q=un%20plan%20,2021-11-19 19:53:56
Hana,www,search,/search?q=un%20plan%20,/search?q=un%20plan%20par,2021-11-19 19:53:56
Hana,www,search,/search?q=un%20plan%20,/search?q=un%20plan%20par,2021-11-19 19:53:56
Hana,www,search,/search?q=un%20plan%20par,/search?q=un%20plan%20parf,2021-11-19 19:53:56
Hana,www,search,/search?q=un%20plan%20par,/search?q=un%20plan%20parf,2021-11-19 19:53:56
Hana,www,search,/search?q=un%20plan%20parf,/search?q=un%20plan%20parfa,2021-11-19 19:53:56
Hana,www,search,/search?q=un%20plan%20parfa,/search?q=un%20plan%20parfait,2021-11-19 19:53:56
Hana,www,search,/search?q=un%20plan%20parf,/search?q=un%20plan%20parfa,2021-11-19 19:53:56
Hana,www,browseTitlesGallery,/browse,/browse/my-list,2021-11-19 19:53:55
Hana,www,search,/browse/my-list,/search?q=u,2021-11-19 19:53:55
Hana,www,search,/browse/my-list,/search?q=u,2021-11-19 19:53:55
Hana,www,search,/search?q=u,/search?q=un%20,2021-11-19 19:53:55
Hana,www,search,/search?q=u,/search?q=un%20,2021-11-19 19:53:55
Hana,www,search,/search?q=un%20,/search?q=un%20pla,2021-11-19 19:53:55
Hana,www,search,/search?q=un%20pla,/search?q=un%20plan,2021-11-19 19:53:55
Hana,www,search,/search?q=un%20,/search?q=un%20pla,2021-11-19 19:53:55
Hana,www,search,/search?q=un%20pla,/search?q=un%20plan,2021-11-19 19:53:55
Hana,www,search,/search?q=un%20plan,/search?q=un%20plan%20,2021-11-19 19:53:55
Hana,www,browseTitles,https://www.netflix.com/browse,/browse,2021-11-19 19:53:09
Hana,www,browseTitlesGallery,/browse,/browse/my-list,2021-11-19 19:53:09
Hana,android,browseTitles,,,2021-11-19 13:36:07
Hana,android,profilesGate,,,2021-11-19 13:36:06
Hana,android,playback,,,2021-11-17 21:33:54
Hana,android,browseTitles,,,2021-11-17 21:33:54
Hana,android,browseTitles,,,2021-11-17 21:33:47
Hana,android,profilesGate,,,2021-11-17 21:33:45
Hana,android,playback,,,2021-11-17 20:17:22
Hana,android,browseTitles,,,2021-11-17 20:17:20
Hana,android,browseTitles,,,2021-11-17 20:17:10
Hana,android,profilesGate,,,2021-11-17 20:17:09
Hana,android,playback,,,2021-11-17 05:53:34
Hana,android,browseTitles,,,2021-11-17 05:53:33
Hana,android,browseTitles,,,2021-11-17 05:53:22
Hana,android,playback,,,2021-11-16 21:21:16
Hana,android,browseTitles,,,2021-11-16 21:21:14
Hana,android,browseTitles,,,2021-11-16 21:21:11
Hana,android,profilesGate,,,2021-11-16 21:21:10
Hana,android,playback,,,2021-11-16 20:04:54
Hana,android,movieDetails,,,2021-11-16 20:04:52
Hana,android,movieDetails,,,2021-11-16 20:04:05
