Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.165.146.163,Île-de-France²,2021-11-20T20:23:01.919Z
NFCDFF-LX-G7W5J32VK8XVNEWMX62AF1EGAE3YJ2,FR,Netflix Linux Firefox Other,Netflix Linux Firefox Other,2a04:cec0:1077:6359:6dc7:ba0f:cee7:6dac,Auvergne-Rhône-Alpes,2021-11-20T19:05:28.559Z
NFCDFF-LX-G7W5J32VK8XVNEWMX62AF1EGAE3YJ2,FR,Netflix Linux Firefox Other,Netflix Linux Firefox Other,2a04:cec0:1071:d457:9d9:507e:3981:d9b7,Auvergne-Rhône-Alpes,2021-11-19T19:51:56.371Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.166.106.198,Auvergne-Rhône-Alpes,2021-11-18T19:42:02.001Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.173.115.0,Burgundy-Franche-Comté,2021-11-17T20:17:25.549Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.173.115.189,Île-de-France²,2021-11-17T05:53:34.631Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.173.115.189,Île-de-France²,2021-11-16T20:04:55.336Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.173.225.202,Hauts-de-France,2021-11-16T17:54:05.939Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.166.230.201,Burgundy-Franche-Comté,2021-11-16T05:30:54.979Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.166.230.201,Burgundy-Franche-Comté,2021-11-15T20:42:41.662Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.164.222.238,Normandie,2021-11-15T18:01:32.287Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.164.222.238,Normandie,2021-11-15T11:36:41.875Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.165.117.224,Burgundy-Franche-Comté,2021-11-14T18:52:27.575Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.164.161.115,Île-de-France²,2021-11-13T19:03:30.657Z
NFCDFF-LX-G7W5J32VK8XVNEWMX62AF1EGAE3YJ2,FR,Netflix Linux Firefox Other,Netflix Linux Firefox Other,2a04:cec0:11dd:ba33:3493:ac19:7287:4e22,Île-de-France²,2021-11-13T12:20:45.790Z
NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,FR,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,37.173.114.149,Île-de-France²,2021-11-12T17:07:36.057Z
