Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Hana,FR,HTML 5,0,un plan parfait,Un plan parfait,play,title_results,2021-11-19 19:54:02
Hana,FR,Android Phone,0,sugar,Zumbo's Just Desserts,view_video_info,title_results,2021-11-15 18:02:21
Hana,FR,Android Phone,0,sugar,Sugar Rush,view_video_info,title_results,2021-11-15 18:02:10
Hana,FR,Android Phone,0,sugar,Une seconde chance : Rivales,play,video_info,2021-11-15 18:01:23
Hana,FR,Android Phone,0,sugar,Une seconde chance : Rivales,view_video_info,title_results,2021-11-15 18:01:13
Hana,FR,Android Phone,0,sugar,En bref,view_video_info,title_results,2021-11-15 18:00:28
Hana,FR,Android Phone,0,sugar,Zumbo's Just Desserts,view_video_info,title_results,2021-11-15 18:00:05
Hana,FR,Android Phone,0,school of ,School of Chocolate,view_video_info,title_results,2021-11-15 17:53:54
Hana,FR,Android Phone,0,raid din,Un plan parfait,play,video_info,2021-11-13 19:03:25
Hana,FR,Android Phone,0,raid din,Un plan parfait,view_video_info,title_results,2021-11-13 19:03:06
Hana,FR,Android Phone,0,blackman,Wanted : Choisis ton destin,view_video_info,title_results,2021-10-31 18:20:43
Hana,FR,Android Phone,0,blackman,Men in Black,view_video_info,title_results,2021-10-31 18:18:18
Hana,FR,Android Phone,0,jonny,Johnny English,view_suggestion_info,suggestion_results,2021-10-29 19:41:35
Hana,FR,Android Phone,0,danse classique ,Tiny Pretty Things,play,video_info,2021-10-22 16:05:25
Hana,FR,Android Phone,0,danse classique ,Tiny Pretty Things,play,title_results,2021-10-22 16:05:20
Hana,FR,Android Phone,0,danse classique ,Tiny Pretty Things,play,title_results,2021-10-22 16:05:14
Hana,FR,Android Phone,0,danse classique ,,play,video_info,2021-10-22 15:51:33
Hana,FR,Android Phone,0,danse classique ,,play,popularSearches,2021-10-22 15:51:26
Hana,FR,Android Phone,0,danse classique ,,play,video_info,2021-10-22 15:51:24
Hana,FR,Android Phone,0,danse classique ,,view_video_info,popularSearches,2021-10-22 15:51:00
Hana,FR,Android Phone,0,spiri,"Spirit, l'étalon des plaines",play,video_info,2021-08-20 20:06:19
Hana,FR,Android Phone,0,spiri,"Spirit, l'étalon des plaines",view_video_info,title_results,2021-08-20 20:06:01
Hana,FR,HTML 5,0,les mini,Les Minions,play,title_results,2021-08-19 19:44:54
Hana,FR,Android Phone,0,,Les Minions,play,video_info,2021-08-19 19:03:35
Hana,FR,Android Phone,0,,Les Minions,view_video_info,popularSearches,2021-08-19 19:03:01
Hana,FR,Android Phone,0,,"Moi, moche et méchant 2",play,video_info,2021-08-19 19:01:57
