Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Hana,2021-11-20 13:52:42,INAPP_NEW_ARRIVALS,NOTIFICATIONS,FR,,,Christmas Flow,GMAIL.COM,,,,0
Hana,2021-11-20 13:52:42,PUSH_NEW_ARRIVALS,PUSH,FR,fr,fr,Christmas Flow,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-11-19 16:02:23,PUSH_NEW_ARRIVALS,PUSH,FR,fr,fr,Hellbound,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-11-19 12:25:19,INAPP_NEW_ARRIVALS,NOTIFICATIONS,FR,,,Hellbound,GMAIL.COM,,,,0
Hana,2021-11-15 13:16:16,INAPP_NEW_ARRIVALS,NOTIFICATIONS,FR,,,Red Notice,GMAIL.COM,,,,0
Hana,2021-11-15 13:16:16,PUSH_NEW_ARRIVALS,PUSH,FR,fr,fr,Red Notice,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-11-13 12:02:04,PUSH_NEW_ARRIVALS,PUSH,FR,fr,fr,Arcane,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-11-13 12:01:08,INAPP_NEW_ARRIVALS,NOTIFICATIONS,FR,,,Arcane,GMAIL.COM,,,,0
Hana,2021-11-06 11:07:30,PUSH_NEW_ARRIVALS,PUSH,FR,fr,fr,Love Hard,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-11-05 12:42:28,INAPP_NEW_ARRIVALS,NOTIFICATIONS,FR,,,Love Hard,GMAIL.COM,,,,0
Hana,2021-11-01 12:37:14,PUSH_NEW_ARRIVALS,PUSH,FR,fr,fr,Demon Slayer: Kimetsu no Yaiba,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-11-01 12:37:12,INAPP_NEW_ARRIVALS,NOTIFICATIONS,FR,,,Demon Slayer: Kimetsu no Yaiba,GMAIL.COM,,,,0
Hana,2021-10-29 13:55:03,PUSH_COMING_SOON,PUSH,FR,fr,fr,,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-10-29 11:09:22,INAPP_COMING_SOON,NOTIFICATIONS,FR,,,,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-10-05 11:24:16,PUSH_COMING_SOON,PUSH,FR,fr,fr,,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-10-05 10:23:23,INAPP_COMING_SOON,NOTIFICATIONS,FR,,,,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-10-03 11:56:06,PUSH_NEW_ARRIVALS,PUSH,FR,fr,fr,Close Enemies,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-10-03 11:56:04,INAPP_NEW_ARRIVALS,NOTIFICATIONS,FR,,,Close Enemies,GMAIL.COM,,,,0
Hana,2021-10-02 15:16:04,PUSH_NEW_ARRIVALS,PUSH,FR,fr,fr,Maid,GMAIL.COM,,,samsung_SM-A520F,0
Hana,2021-10-02 15:15:56,INAPP_NEW_ARRIVALS,NOTIFICATIONS,FR,,,Maid,GMAIL.COM,,,,0
